															
Player	Team	G	IP	GS	QS	QS%	K/BB	K/9	BB/9	HR/9	BABIP	Str%	FB MPH	ERA	FIP
Ryan Garton	SEA	13	11.2	0	0	0.0	7.0	5.4	0.8	0.8	-	80.0	92.5	1.54	3.38
Nate Jones	CWS	11	11.2	0	0	0.0	2.5	11.6	4.6	0.8	.308	85.7	97.2	2.31	3.34
Juan Nicasio	STL	9	11.0	0	0	0.0	5.5	9.0	1.6	0.8	-	90.0	95.4	1.64	2.95
Ben Heller	NYY	9	11.0	0	0	0.0	1.5	7.4	4.9	0.0	.179	90.9	94.7	0.82	3.25
Jimmie Sherfy	ARI	11	10.2	0	0	0.0	4.5	7.6	1.7	0.0	.192	100.0	93.9	0.00	2.09
Jake Diekman	TEX	11	10.2	0	0	0.0	1.3	11.0	8.4	0.8	.143	84.6	94.7	2.53	4.89
Victor Arano	PHI	10	10.2	0	0	0.0	3.3	11.0	3.4	0.0	.240	80.0	93.4	1.69	1.93
Jason Hursh	ATL	9	10.2	0	0	0.0	1.8	5.9	3.4	0.8	.353	68.8	95.0	5.06	4.27
Brooks Pounders	LAA	11	10.1	0	0	0.0	2.4	10.5	4.4	3.5	.406	55.6	92.6	10.45	7.41
Neil Ramirez	SF	9	10.1	0	0	0.0	4.5	15.7	3.5	1.7	-	52.9	93.1	8.71	3.43
Luke Farrell	CIN	9	10.1	0	0	0.0	1.0	6.1	6.1	0.9	-	81.8	91.0	2.61	5.20
Ryan Garton	TB	7	10.1	0	0	0.0	1.8	7.8	4.4	2.6	-	53.3	92.5	8.71	6.73
Aaron Wilkerson	MIL	3	10.1	2	1	50.0	7.0	6.1	0.9	0.9	.179	50.0	89.7	3.48	3.40
Artie Lewicki	DET	4	10.1	1	0	0.0	1.5	5.2	3.5	0.9	.439	72.7	92.4	6.10	4.50
Chih-Wei Hu	TB	6	10.0	0	0	0.0	2.3	8.1	3.6	1.8	.120	85.7	93.5	2.70	5.24
Dylan Floro	CHC	3	9.2	0	0	0.0	3.0	5.6	1.9	1.9	.382	66.7	91.3	6.52	5.29
Zac Reininger	DET	10	9.2	0	0	0.0	1.7	4.7	2.8	2.8	.361	66.7	94.8	7.45	7.16
Walker Buehler	LAD	8	9.1	0	0	0.0	1.5	11.6	7.7	1.9	.409	64.7	98.1	7.71	6.07
Jacob Rhame	NYM	9	9.0	0	0	0.0	1.0	7.0	7.0	2.0	.345	58.8	95.1	9.00	6.94
Zach Putnam	CWS	7	8.2	0	0	0.0	9.0	9.3	1.0	0.0	.111	66.7	90.7	1.04	1.48
Chaz Roe	TB	9	8.2	0	0	0.0	4.0	12.5	3.1	1.0	-	100.0	92.8	1.04	3.00
David Phelps	SEA	10	8.2	0	0	0.0	2.2	11.4	5.2	0.0	-	78.6	94.3	3.12	2.45
John Curtiss	MIN	9	8.2	0	0	0.0	5.0	10.4	2.1	2.1	.304	33.3	95.2	8.31	4.61
Edward Paredes	LAD	10	8.1	0	0	0.0	0.0	11.9	0.0	1.1	.368	71.4	90.6	3.24	2.12
Sandy Alcantara	STL	8	8.1	0	0	0.0	1.7	10.8	6.5	2.2	.333	84.6	98.4	4.32	6.15
Noe Ramirez	LAA	10	8.1	0	0	0.0	2.5	10.8	4.3	0.0	-	71.4	89.8	2.16	2.29
Adam Kolarek	TB	12	8.1	0	0	0.0	1.0	4.3	4.3	2.2	.269	63.6	88.1	6.48	6.85
Mike Hauschild	TEX	4	8.0	0	0	0.0	3.5	7.9	2.3	5.6	.375	54.5	92.0	11.25	10.35
Zach Lee	SD	3	8.0	1	0	0.0	0.8	6.8	9.0	1.1	.269	73.3	90.2	5.63	6.43
Nick Gardewine	TEX	12	8.0	0	0	0.0	0.4	3.4	7.9	1.1	.310	75.0	94.6	5.63	6.79
Rubby De La Rosa	ARI	9	7.2	0	0	0.0	3.0	14.1	4.7	2.3	.313	77.8	97.1	4.70	5.08
Bobby Wahl	OAK	7	7.2	0	0	0.0	2.0	9.4	4.7	0.0	.348	66.7	95.0	4.70	2.73
Felix Jorge	MIN	2	7.2	2	0	0.0	2.0	4.7	2.3	4.7	.385	58.3	92.4	10.57	9.75
Evan Marshall	SEA	6	7.2	0	0	0.0	0.8	4.7	5.9	1.2	.393	56.3	93.9	9.39	5.87
Rob Whalen	SEA	2	7.1	1	0	0.0	1.0	2.5	2.5	1.2	.250	50.0	89.0	6.14	5.27
Victor Alcantara	DET	6	7.1	0	0	0.0	1.3	6.1	4.9	1.2	.407	60.0	92.1	8.59	5.30
Josh Lucas	STL	5	7.1	0	0	0.0	1.8	8.6	4.9	2.5	.278	88.9	92.6	3.68	6.53
Zac Rosscup	COL	9	7.0	0	0	0.0	0.0	12.9	0.0	2.6	-	71.4	93.2	5.14	4.06
