Player,Team,G,GS,QS,IP,K,HLD,SV,ERA,WHIP
Kyle Hendricks,CHC,32,32,16,194,163,0,0,3.11,1.12
Liam Hendriks,OAK,54,0,0,44,49,5,0,4.09,1.32
Felix Hernandez,SEA,28,28,11,159,131,0,0,4.92,1.36
David Hernandez,CIN,62,0,0,62,63,16,1,3.05,1.11
Kelvin Herrera,CWS,57,0,0,54,52,13,10,3.17,1.2
David Hess,BAL,29,29,12,159,119,0,0,4.64,1.38
Jordan Hicks,STL,68,0,0,70,78,4,29,3.09,1.31
Trevor Hildenberger,MIN,58,0,0,62,63,15,12,4.21,1.16
Tim Hill,KC,66,0,0,56,55,15,2,4.18,1.32
Rich Hill,LAD,23,23,10,130,152,0,0,3.32,1.09
Yoshihisa Hirano,ARI,67,0,0,62,55,26,5,2.61,1.15
Jonathan Holder,NYY,57,0,0,64,64,8,0,3.23,1.14
Derek Holland,SF,27,27,8,148,132,0,0,4.56,1.43
Greg Holland,ARI,60,0,0,51,53,20,1,3.88,1.49
Dakota Hudson,STL,20,7,0,69,48,12,0,2.74,1.3
Jared Hughes,CIN,71,0,0,69,53,14,6,2.48,1.2
Tommy Hunter,PHI,58,0,0,57,51,22,2,3.32,1.16
Raisel Iglesias,CIN,65,0,0,66,72,1,23,3.68,1.26
Edwin Jackson,FA,17,15,7,86,64,0,0,4.29,1.36
Josh James,HOU,28,20,8,123,135,0,0,3.8,1.26
Kenley Jansen,LAD,67,0,0,69,94,0,37,2.35,0.88
Jeremy Jeffress,MIL,67,0,0,70,69,17,6,2.44,1.23
Joe Jimenez,DET,65,0,0,61,80,22,5,3.69,1.11
Nate Jones,CWS,38,0,0,37,41,8,10,3.65,1.35
Jakob Junis,KC,30,30,15,174,160,0,0,4.14,1.16
Ariel Jurado,TEX,26,26,5,136,81,0,0,4.57,1.4
Keone Kela,PIT,61,0,0,59,77,25,2,3.05,0.97
Mitch Keller,PIT,11,11,3,62,55,0,0,3.77,1.23
Brad Keller,KC,30,30,14,172,137,0,0,3.66,1.29
Shawn Kelley,TEX,49,0,0,43,47,6,1,3.77,1.02
Joe Kelly,LAD,61,0,0,59,59,18,2,3.97,1.34
Merrill Kelly,ARI,29,29,6,176,152,0,0,4.04,1.37
Ian Kennedy,KC,27,27,11,144,127,0,0,4.69,1.32
Clayton Kershaw,LAD,25,25,15,163,151,0,0,3.15,1.12
Dallas Keuchel,FA,29,29,18,179,143,0,0,3.62,1.26
Yusei Kikuchi,SEA,29,29,9,183,176,0,0,3.49,1.19
Craig Kimbrel,FA,63,0,0,63,103,1,38,2.57,0.89
Nick Kingham,PIT,22,19,6,101,89,0,0,4.63,1.33
Brandon Kintzler,CHC,68,0,0,63,40,20,2,3.71,1.32
Corey Kluber,CLE,32,32,24,207,228,0,0,2.96,1.04
Corey Knebel,MIL,60,0,0,59,92,5,29,2.59,1.08
Eric Lauer,SD,24,24,7,120,114,0,0,4.05,1.45
Mike Leake,SEA,31,31,17,184,124,0,0,4.26,1.29
Wade LeBlanc,SEA,36,15,4,114,92,0,0,3.87,1.18
Jose Leclerc,TEX,71,0,0,70,98,1,33,2.31,1.04
Jon Lester,CHC,32,32,17,183,157,0,0,3.79,1.31
Francisco Liriano,PIT,31,24,9,126,111,0,0,4.93,1.53
Jonathan Loaisiga,NYY,19,19,6,97,122,0,0,3.8,1.27
Reynaldo Lopez,CWS,32,32,18,187,162,0,0,3.95,1.27
Jorge Lopez,KC,23,10,3,71,61,0,0,5.07,1.49
Michael Lorenzen,CIN,52,2,0,77,62,7,0,3.51,1.34
Joey Lucchesi,SD,29,29,7,151,158,0,0,3.93,1.21
Seth Lugo,NYM,54,10,1,114,95,8,0,3.08,1.08
Jesus Luzardo,OAK,16,16,5,84,84,0,0,3.32,1.21
Lance Lynn,TEX,31,31,13,170,159,0,0,3.97,1.39
Ryan Madson,FA,59,0,0,57,58,17,2,3.79,1.16
Kenta Maeda,LAD,35,23,6,137,153,0,0,3.88,1.2
Tyler Mahle,CIN,24,24,8,124,116,0,0,4.43,1.29
German Marquez,COL,31,31,18,185,204,0,0,3.65,1.24
Chris Martin,TEX,51,0,0,46,40,19,1,4.89,1.35
Carlos Martinez,STL,27,27,17,167,167,0,0,3.34,1.27
Phil Maton,SD,56,0,0,59,62,6,0,4.27,1.53
Steven Matz,NYM,28,28,13,146,136,0,0,4.25,1.29
Trevor May,MIN,52,0,0,68,84,9,12,3.44,1.22
Kevin McCarthy,KC,54,0,0,63,40,19,0,3.29,1.3
